Indonesian,Minangkabau
ayahku,aya denai
ayahmu,apak ang
ayahmu,aya ang
ayahnya,abak nyo
ayahnya,abaknyo
ayahnya,apak nyo
ayahnya,apaknyo
ayahnya,ayahnyo
ayahnya,gaeknyo
ayam,ayam
ayo,ayo
ayo,ayok
ayo,copek
ayo,lakeh
ayo,mo
ayo,mo la
ayo,moh
ayo,molah
ayo,mua
ayo,muah
ayo,ayo
ayolah,ayolah
ayolah,lakelah
ayolah,mailah
ayolah,ayolah
ayolah,moh lah
ayolah,mohlah
ayolah,molah
ayolah,mualah
ayolah,pe'lah
ayolah,peklah
ayunan,ayunan
ayunkan,ayunan
ayunku,ayunan den
babi,babi
babi,kandiak
baca,baco
bacalah,bacolah
bacanya,baconyo
badai,badai
badai,topan
badaiku,badai den
badainya,badainyo
badan,badan
badan,batang tubuah
badan,tubuah
badanku,badan den
badanku,badan denai
badanmu,badan ang
badut,badut
bagaiamana,bagaimano
bagaimana, baa
bagaimana,ba
bagaimana,ba a
bagaimana,ba'a
bagaimana,baa
bagaimana,baa ko
bagaimana,baatu
bagaimana,bagaimano
bagaimana,macam mano
bagaimanapun,ba'a pun
bagaimanapun,ba'apun
bagaimanapun,baa pun
bagaimanapun,baabanapun
bagaimanapun,baapun
bagaimanapun,bagaimanopun
bagaimanapun,gimanopun
bagasi,bagasi
bagasiku,bagasi den
bagasiku,bagasi denai
bagasimu,bagasi ang
bagasimu,bagasi inyo
bagasinya,bagasinyo
bagi,agiah
bagi,agih
bagi,bagi
bagi,bagih
bagi,bari
bagian,bagian
bagian,jatah
bagian,pangga
bagianku,bagian den
bagianku,bagian denai
bagianmu,bagian ang
bagianmu,bagian inyo
bagiannya,bagiannyo
bagikan,bagian
bagikan,bagikan
bagiku,bagi den
bagiku,bagi denai
bagilah,bagilah
bagimu,bagi ang
bagimu,bagi kau
bagus,ancak
bagus,elok
bagus,rancak
baguslah,eloklah
baguslah,rancaklah
bagusnya,rancanyo
baguus,rancaklah
bahagia,bahagia
bahagia,bahagio
bahagia,sanang
bahagiakan,bahagiaan
bahan,bahan
bahan bakar,bahan baka
bahan kimia,bahan kimia
bahas,bahas
bahasa,bahaso
bahasa,baso
bahasa,kato-kato nan elok
bahasamu,bahaso ang
bahaya,bahayo
bahkan,bahkan
bahkan,malah
bahuku,bahu den
bahuku,bahu denai
bahunya,bahunyo
bahwa, bahwa
bahwa,bahwa
bahwa,bahwasanyo
bahwa,bahwo
bahwa,baso
baik,baiek
baik,baik
baik,bayiak
baik,elok
baikkan,elokkan
baikku,elok den
baikku,elok denai
baiklah,baiaklah
baiklah,baiklah
baiklah,bayiklah
baiklah,eloklah
baiklah,iyolah
baikmu,elok ang
baikmu,elok inyo
baja,baja
bajingan,kurang aja
bajingan,pancacak
bajingan,panjaek
bajinganmu,bajingan ang
baju,baju
baju dalam,singlet
bajumu,baju ang
bajumu,baju kau
bakalan,bakalan
bakar,baka
bakarmu,baka ang
bakarnya,bakanyo
bakat,alamaik
bakat,bakaik
bakat,bakeh
bakteripun,bakteripun
baku,baku
baku,pokok
baku,utamo
balai,balai
balai,kantua
balai,pakan
balapan,bapacu-pacu
balapan,saliang bapacu
balasannya,balehannyo
balasnya,balehnyo
balik,baliak
balik,balek
balik,baliak
balik,baliek
balik,pulang
balik,puta
balikan,balikan
balikkan,balik an
balikkannya,balik an nyo
baling,baliang
balkon,barando
balkon,langkan
balkon,sarambi
ban,ban
ban,cawek
ban,pita
ban,tungkuih buku
banci,bencong
bandara,banda
bandara,bandara
bandarnya,bandarnyo
banding,banginan
banding,mintak bandiang
banding,nan maikiki
banding,padanan
bandingkan,bandiangkan
bandit,bandik bajiangan
bandit,pancilok
bandit,parampok
banget,bana
bangga,bangga
bangga,banggo
bangga,gadang ati
bangga,gadang hati
bangga,panggak
banggakan,banggaan
bangkit,bangkik
bangkitkan,bangkitkan
bangkitlah,bangkitlah
bangku,bangku
bangsa,banso
bangsa,golongan
bangsa,jinih
bangsal,balai istana
bangsal,bedeang
bangsat,bangsat
bangun,bangun
bangun,jago
bangunan,apo nan dibangun
bangunkan,jago an
banjingan,bajingan
banjir,banjia
banjir,malimbak
banjir,malimpah
banjirnya,banjirnyo
bank,bang
bank,bank
bantah,bantah
bantahan,bantahan
bantai,bantai
bantal,banta
bantu,bantu
bantu,mambantu
bantu,tolong
bantuan,bantu
bantuan,bantuan
bantuan,patolongan
bantuanku,bantuan den
bantuanmu,bantuan ang
bantuannya,bantuanyo
bantuin,bantuin
banyak,banyak
banyak,sambuah
banyak sekali,banyak bana
bapa,apaa
bapak,abak
bapak,ayah
bapakmu,apa ang
bapakmu,apa inyo
bara,arang
bara,baro
barangkali,barangkali
barangku,barang den
barangmu,barang ang
barangnya,barangnyo
barangsiapa,barang sia
barat,baraik
barat,barat
barat,ujuang
barbekyu,barbekyu
barbie,barbie
bareng,basamo
barmu,bar ang
barmu,bar kau
baru saja,baru se
baruku,baru den
barumu,baru ang
barusan,santako
barusan,tadi
basahi,basahi
basahkan,basahan
basahmu,basah ang
baseball,kasti
basi,indak mujarab
basi,rasan
basinya,basinyo
batal,batal
batalkan,batalkan
batalyon,batalyon
batang,batang
batang,tangkai
batas,bateh
batas,bintalak
batas,inggo
batasan,batehan
batasanmu,batehan ang
batasannya,batehannyo
bateraiku,batrai ambo
bateraiku,batrai den
bateraiku,batrai denai
baterainya,batrainyo
batin,akikaiknyo
batin,batin
batu,batu
batu,tunggak
batu bara,batu bara
batukku,batuak ambo
batukku,batuak den
batukmu,batuak ang
batukmu,batuak inyo
batunya,batunyo
bau,ao
bau,baun
baumu,baun ang
baumu,baun inyo
baut,bauik
baut,bawik
bautnya,bauiknyo
bawa,bao
bawa,baok
bawa,bawo
bawa,bawok
bawaan,bawaan
bawaanmu,bawaan ang
bawah,baruah
bawah,bawa
bawah,bawah
bawah sadar,bawah sadar
bawah tanah,bawah tanah
bawakan,baok an
bawang,bawang
bayangan,bayang-bayang
bayangan,bayangan
bayangan,tando-tando
bayangannya,bayanganyo
bayangkan,andaikan
bayangkan,bayang'an
bayangkan,bayangan
bayangkan,bayangkan
bayangkan,tanuongkan
bayar,baia
bayar,bayia
bayar,bayiau
bayar,bayie
bayaran,baia
bayarannya,bayiannyo
baygon,baygon
baygon,ubek nyamuak
bayi,anak ketek
bayi,paja
bayi,paja sirah
bayiku,bayi den
bayimu,bayi kau
bayinya,bayinyo
beban,baban
bebannya,bebannyo
bebas,bebaih
bebas,bebas
bebas,lapeh
bebas,lope
bebaskan,bebas an
beberapa,babarapo
beberapa,bara
beberapa,barapo
beberapa,beberapo
bebuyutan,bebuyutan
becanda,bergurau
bedebah,cilako
beejanjilah,bajanjilah
begadang,begadang
begini,bagiko
begini,baiko
begini,baitu
begini,begiko
begini,begini
begini,beiko
begini,candoiko
begini,giko
begini,mode
begini,mode ko
begini,modeko
beginilah,mode ikolah
begitu,ba'itu
begitu,bagitu
begitu,baiko
begitu,baitu
begitu,bantuak itu
begitu,macamko
begitu,modetu
begitukah,bitu a
begitulah,ba'itulah
begitulah,baalai
begitulah,bagitulah
begitulah,baituahla
begitulah,baitulah
begitulah,macamtulah
begitulah,modetu lah
begitulah,modetula
begitulah,modetulah
behubungan,bahubungan
bekasnya,bekasnyo
bekasnya,sisonyo
bekerja,bakarajo
bekerja,bakureh
bekerja,karajo
bekerjalah,bakarajolah
bekerjasama,bakarajo samo
beku,kareh
bel,ganto
bel,lonceang
belajar,balaja
belajar,baraja
belajarlah,barajalah
belakang,balakang
belakangku,balakang den
belakangmu,balakang ang
belalang,bilalang
belanja,balanjo
belanjaan,balanjoan
belanjut,balanjuik
belantara,belantara
belas,baleh
belati,pisau balati
belatung,balatuang
belayar,balayar
beli,bali
beli,boli
beli,mambali
belikan,balian
belilah,balilah
belokan,belokan
belum,alun
belum,bolum
belumlah,alunlah
belut,baluik
benakku,benak den
benakmu,benak ang
benang,banang
benar,bana
benar,batua
benar,batuah
benar-benar,bana-bana
benarkah,bana
benarkah,banakah
benarkah,banako
benarkah,batua
benarkah,batuah
benarkah,batuah ko
benarkah,batuakah
benarkah,benarkah
benarkah,bonakah
benarkah,iyobanah
benarkah,laiiyo
benarkah,sabana
benarkah,yo bana
benarkah,yobana
benarkan,batuakan
bencana,bahayo
bencana,bincano
bencana,cilako
bencana,godaan
benci,banci
benci,bonci
benci,jajok
benci,muak
benda,arato
benda,paragaiknyo
bendungan,ampang
bendungan,ampangan
bener,batua
bengkel,pabirik ketek
bengkok,bingkuak
bengkokkan,bengkok an
benih,baniah
benih,bibik
benih,pangka pacakaan
benih,tampang
benjolan,bangkak
bensin,bensin
bensin,minyak
bensinnya,bensinyo
bentar,santa
bentengnya,bentengnyo
bentrokan,bentrokan
bentuk,bantuak
bentuk,langkuang
bentuk,rupo
benturan,belago
benturkan,belagoan
benua,banua
benua,nagari
beracun,baracun
berada,barado
berada,berado
berahi,berahi
berakhir,ba'akia
berakhir,baakia
berakhir,barahir
berakhir,barakhia
berakhir,barakhir
berakhir,barakia
berakhir,baranti
berakhir,berahir
berakhir,berakhir
berakhir,kasudahan
berakhirnya,barakhirnyo
beraksi,beraksi
berakting,berakting
berambisi,berambisi
berambut,barambuik
berambut pirang,rambuik pirang
berambutjagung,barambuik jagung
berandal,berandal
berandalan,berandalan
beranggapan,beanggapan
berangkat,barangkek
berangkat,berangkek
berangkat,pai
berangkatlah,barangkeklah
berani,bagak
berani,barani
beranilah,bagaklah
beraninya,bagaknyo
berantakan,baserak
berantakannya,baseraknyo
berantem,bacakak
berapa,bara
berapa,barapo
berapa,berapo
berarti,artinyo
berarti,baarti
berarti,bararti
berarti,barati
berarti,bearti
berasal,asa
berasal,barasa
berasal,barasal
berasal,berasal
berasal,muasal
berasumsi,baasumsi
beratmu,barek ang
beraturan,beraturan
berayun,barayun
berbagi,ba bagi
berbagi,ba'agiah
berbagi,babagi
berbagi,babagih
berbagi,mambari
berbagilah,babagilah
berbahagia,babahagia
berbahagialah,babahagialah
berbahaya,babahayo
berbahaya,babayo
berbahaya,bahayo
berbaik,baelok
berbakti,babakti
berbaliklah,babaliaklah
berbaring,lalok-lalok
berbaringlah,lalok-laloklah
berbaris,babaris
berbau,babaun
berbayar,babayia
berbeda,babeda
berbeda,babedo
berbelanja,babalanjo
berbelok,babelok
berbiak,baranak
berbicara,babicaro
berbicara,bebicaro
berbicara,bicaro
berbicara,mangecek
berbicara,mengecek
berbicaralah,mangeceklah
berbisik,babisiak
berbobot,babobot
berbohong,baduto
berbohong,mangicuah
berbohong,panduto
berbuat,babuek
berbuatlah,babueklah
berbulan,babulan
berbulu,babulu
berbusa,babusa
bercakap,mangecek
bercanda,bacando
bercanda,bagaluik
bercanda,bagara
bercanda,bagarah
bercanda,bagurau
bercanda,begarah
bercanda,begurau
bercanda,malawak
bercandaan,bagurauan
berceceran,baceceran
berceceran,tacicia
bercermin,bacomin
bercermin,bakaco
bercinta,bacinto
bercinta,bercinto
berciuman,baciuaman
bercukur,bacukua
bercuti,bacuti
bercuti,libur
berdamailah,badamailah
berdandan,badandan
berdandan,bagaya
berdandan,basolek
berdansa,badansa
berdaulat,badaulat
berdaya,badaya
berdebu,badabu
berdelapan,balapan
berdengkur,bakaruah
berdering,badariang
berdetak,badatak
berdiri,badiri
berdiri,bediri
berdiri,tagak
berdirilah,tagaklah
berdiripun,tagaaklah
berdoa,bamohon
berdoa,bado'a
berdoalah,bado'alah
berdosa,badoso
berdua,badua
berdua,baduo
berdua,beduo
berduaan,baduoan
berduka,baduko
berduka,berduka
berebut,bacirabuik
berempat,barampek
berendam,barandam
bereproduksi,bareproduksi
beres,salasai
bereskan,salasaikan
berfirman,bafirman
berfoto,bafoto
bergabung,bagabuang
bergabung,bagabung
bergabung,bagabuong
bergabunglah,bagabuanglah
bergadang,bagadang
bergairah,bagairah
bergambar,bagamba
berganda,baganda
berganti,baganti
bergarak,bagarak
bergaul,bagaul
bergegas,bagageh
bergejolak,bagejolak
bergembira,bagambira
bergembira,basanang
bergeming,bageming
bergemuruh,bagamuruah
bergerak,bagarak
bergerak,bagerak
bergerak,baranjak
bergerak,begorak
bergeraklah,manggariklah
bergeser,bagereh
bergetar,bagetar
bergigi,bagigi
bergiliran,bagiliran
bergizi,bagizi
bergoyang,bagoyang
bergravitasi,bagravitasi
berguling,baguliang
bergumam,mangecek surang
berguna,baguno
berhalusinasi,bahalusinasi
berhamburan,bahamburan
berhanti,baranti
berharap,ba'arok
berharap,baarok
berharap,baharap
berharap,baharok
berharap,bararok
berharap,beharok
berharap,berharok
berharap,maharokkan
berharaplah,baharoklah
berharga,baarago
berharga,baguno
berharga,baharago
berharga,bahargo
berharga,baharogo
berharga,barago
berharga,barogo
berharga,berhargo
berhari,bahari
berhasil,bahasil
berhasil,barasia
berhasil,barasial
berhasil,barasil
berhasil,sukses
berhasilkah,barasilkah
berhasilnya,berhasilnyo
berhasrat,bahasrat
berhati,bahati
berhenti,baranti
berhenti,baronti
berhentilah,barantilah
berhianat,bahianat
berhitung,bahituang
berhitung,mangituang
berhubung,bahubuang
berhubungan,bagabung
berhubungan,bahubuangan
berhubungan,bahubungan
berhutan,bahutan
berhutang,bautang
beri,agi
beri,agia
beri,agiah
beri,agieh
beri,agih
beri,bari
beri,mengagieh
beribu,baribu
berijazah,baijazah
berikan,agi
berikan,agiah
berikan,agiahan
berikan,agiehkan
berikan,agih
berikan,agihkan
berikan,barian
berikan,barikan
berikanlah,agiahanlah
berikutnya,baikuiknyo
berikutnya,barikuiknyo
berikutnya,berikuiknyo
berikutnya,berikutnyo
berikutnya,salanjuiknyo
berikutnya,selanjuinyo
berinvestasi,bainvestasi
berisik,heboh
berisik,pakak
berisiko,berisiko
beristirahat,baistirahat
beristirahatlah,baistirahatlah
berita,barito
berita,kaba
berita,takecek-kecek
beritahu,agi tau
beritahu,agia tau
beritahu,agiah tahu
beritahu,agiah tau
beritahu,agiahtau
beritahu,agiatahu
beritahu,agiatau
beritahu,agieh tau
beritahu,agihtau
beritahu,baritahu
beritahu,baritau
beritahu,kecekan
beritahu,kecekkan
beritahukan,baritauan
beritahulah,baritauanlah
beritanya,beritanyo
beritau,agiahtau
berjabat,bajabat
berjaga,bajago
berjalan,bajalan
berjalanlah,bajalanlah
berjalannya,bajalannyo
berjanji,bajanji
berjanji,bajonji
berjanjilah,bajanjilah
berjari,bajari
berjemur,bajemur
berjodoh,bajodoh
berjuang,bajuang
berjuang,barusaho
berjudi,bajudi
berjumpa,bajumpo
berjumpa,basobok
berkacamata,bakacamato
berkah,barakaik
berkah,karunia
berkarat,bakarat
berkarat,bakarek
berkas,balambang
berkas,ikek
berkas,kabek
berkas,kalompok
berkas,kumpualan
berkasku,bakeh den 
berkasnya,bakehnyo
berkata,bakato
berkata,bakecek
berkata,berkato
berkata,mangecek
berkata,mengecek
berkatilah,berkatilah
berkawin,bakawin
berkecamuk,bakacamuak
berkejaran,bakajaan
berkelakuan,bakalakuan
berkelana,bakelana
berkelana,malala
berkelas,bakelas
berkeliaran,bakaliaran
berkeliaran,malala
berkeluh,berkeluh
berkeluh,mangeluh
berkemas,bakameh
berkemaslah,bakamehlah
berkembang biak, baranak
berkembang biak,bakambang biak
berkemudi,mangemudi
berkemungkinan,bakamungkinan
berkenan,bakenan
berkencan,bakencan
berkendara,bakandara
berkepala,bakapalo
berkeras,basikareh
berkeringat,bakaringek
berkerja,bakarajo
berkerut,bakaruik
berkesan,bakosan
berkesudahan,bakasudahan
berkilat,bakilek
berkilau,bakilau
berkilauan,bakilau
berkirim,bakirim
berkoin,bakoin
berkomentar,bakomentar
berkomitmen,bakomitmen
berkonsentrasi,bakonsentrasi
berkoordinasi,bakoordinasi
berkorban,bakorban
berkosultasi,bakonsultasi
berkualifikasi,bakualifikasi
berkualitas,bakualitas
berkuda,bakudo
berkumpulnya,bakumpulnyo
berkunci,bakunci
berkutat,bakutat
berkutik,bakutit
berlagak,balagak
berlagu,balagu
berlari,ba lari
berlari,bakaja
berlari,balari
berlari,lari
berlarian,balarian
berlatih,balatiah
berlatih,balatieh
berlatih,balatih
berlatih,belatih
berlemak,balemak
berlendir,balendir
berlengah,balengah
berlengan,balangan
berlian,baralian
berlidung,balindung
berlindunglah,balindunglah
berlogo,balogo
berlogo,batando
berlonceng,balonceng
berlumur,balumua
berlumur,balumur
berlumuran,balumuran
berlutuhlah,balutuiklah
berlutut,balutuik
bermain,bamaian
bermain,bamain
bermainmu,bamain ang
bermainmu,bamain kau
bermaksud,ba maksud
bermaksud,bamakasuik
bermaksud,bamaksud
bermaksud,bamaksuik
bermaksud,bamasuik
bermaksud,bamukasuik
bermaksud,kahsndak
bermaksud,makasuik
bermaksud,makasuiknyo
bermartabat,bamartabaik
bermasturbasi,bamasturbasi
bermata,bamato
bermesin,bamasin
bermesraan,bamasraan
bermimpi,bamimpi
berminat,baminat
berminyak,baminyak
bermuatan,bamuatan
bermuka,bamuko
bermulut,bamuluik
bernafaslah,banapehlah
bernama,banamo
bernama,bernamo
bernapas,baangok
bernapas,banapeh
bernegosiasi,banegosiasi
bernostalgia,banostalgia
berongga,barongga
berorganisasi,baorganisasi
berpadu,basatu
berpakaianlah,bapakaianlah
berpaling,babaliak
berpamitan,bapamitan
berpanel,bapanel
berpegangan,bapacik'an
berpeluang,bapeluang
berpeluru,bapeluru
berpencar,bapanca
berpengalaman,bapangalaman
berperasaan,baperasaan
berperilaku,baprilaku
berpesiarlah,balayarlah
berpesta,bapesta
berpikir,bapiki
berpikir,bapiki'a
berpikir,bapikia
berpikir,bapikiah
berpikir,bapikie
berpikir,bapikii
berpikir,bapikir
berpikir,baraka
berpikiran,bapikiran
berpikirkan,bapikia'an
berpikirlah,bapikialah
berpita,bapita
berprasangka,baprasangko
berpura-pura,bapura-pura
berputarlah,baputalah
berputer,baputa 
bersabar,basaba
bersabarlah,basabalah
bersakasi,basakasi
bersalah,basala
bersalah,basalah
bersalah,basaleh 
bersalahnya,basalahnyo
bersalju,basalju
bersama,basamo
bersama,bersamo
bersama,besamo
bersamaan,basamoan
bersamaku,basamo den
bersamamu,basamo ang
bersamamu,basamo kau
bersamanya,basamo
bersamanya,basamo inyo
bersamanya,basamonyo
bersamanya,bersamaan
bersandarlah,basandalah
bersantai,basantai
bersarang,basarang
bersatulah,basatulah
bersatunya,basatunyo
bersedia,basadio
bersediakah,basadio ndak
bersediakah,basadiokah
bersedih,baibo ati
bersedih,basediah
berselingkuh,baselingkuh
bersembilan,basambilan
bersembunyi,baandok
bersembunyi,barandok
bersembunyi,basambunyi
bersembunyi,basamunyi
bersembunyi,basarondok
bersembunyi,basuruak
bersembunyi,mandok
bersembunyi,mangondok
bersembunyi,manyandok
bersembunyi,manyuruak
bersembunyi,marondok
bersembunyilah,basambunyilah
bersemu,basemu
bersenam,basenam
bersenang,bagambiro
bersenang,basanang
bersenang,basonang
bersenanglah,basananglah
bersendawa,bacindao
bersendirian,basurang se
bersenjatakan,basanjatoan
bersepai,basepai
bersepai,baserak
bersepakat,basipakat
bersepakat,basipokeh
bersepeda,basepeda
berseragam,baseragam
berseronok,basanang 
bersertifikat,basertifikat
bersetting,basetting
bersiap,bakakeh
bersiap,bakameh
bersiap,basiap
bersiaplah,basiaplah
bersih,barasiah
bersih,barasieh
bersih,barasih
bersih,barosih
bersih,bersiah
bersihkan,barasiahan
bersihkanlah,barasiahanlah
bersikap,basikap
bersikap,basikauk
bersikeras,basikareh
bersimpuh,basimpuah
bersin,basin
bersiri,basiri
bersiul,basiua
bersorak,basorak
bersosialisasi,basosialisasi
bersuara,basuaro
